# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-12-08 23:45:32 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06934500 Missouri River at Hermann, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06934500
#            TS   parameter     statistic     Description
#         75911       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	75911_00060_00003	75911_00060_00003_cd
USGS	06934500	1933-04-29	49600	A
USGS	06934500	1933-04-30	47500	A
USGS	06934500	1933-05-01	47500	A
USGS	06934500	1933-05-02	46100	A
USGS	06934500	1933-05-03	51000	A
USGS	06934500	1933-05-04	53800	A
USGS	06934500	1933-05-05	56700	A
USGS	06934500	1933-05-06	58800	A
USGS	06934500	1933-05-07	64600	A
USGS	06934500	1933-05-08	72100	A
USGS	06934500	1933-05-09	61700	A
USGS	06934500	1933-05-10	58800	A
USGS	06934500	1933-05-11	58800	A
USGS	06934500	1933-05-12	95700	A
USGS	06934500	1933-05-13	150000	A
USGS	06934500	1933-05-14	178000	A
USGS	06934500	1933-05-15	168000	A
USGS	06934500	1933-05-16	158000	A
USGS	06934500	1933-05-17	146000	A
USGS	06934500	1933-05-18	147000	A
USGS	06934500	1933-05-19	150000	A
USGS	06934500	1933-05-20	132000	A
USGS	06934500	1933-05-21	117000	A
USGS	06934500	1933-05-22	114000	A
USGS	06934500	1933-05-23	123000	A
USGS	06934500	1933-05-24	132000	A
USGS	06934500	1933-05-25	152000	A
USGS	06934500	1933-05-26	144000	A
USGS	06934500	1933-05-27	153000	A
USGS	06934500	1933-05-28	156000	A
USGS	06934500	1933-05-29	144000	A
USGS	06934500	1933-05-30	123000	A
USGS	06934500	1933-05-31	112000	A
USGS	06934500	1933-06-01	101000	A
USGS	06934500	1933-06-02	115000	A
USGS	06934500	1933-06-03	126000	A
USGS	06934500	1933-06-04	120000	A
USGS	06934500	1933-06-05	116000	A
USGS	06934500	1933-06-06	114000	A
USGS	06934500	1933-06-07	104000	A
USGS	06934500	1933-06-08	92400	A
USGS	06934500	1933-06-09	82000	A
USGS	06934500	1933-06-10	76000	A
USGS	06934500	1933-06-11	70300	A
USGS	06934500	1933-06-12	66900	A
USGS	06934500	1933-06-13	61700	A
USGS	06934500	1933-06-14	61700	A
USGS	06934500	1933-06-15	59600	A
USGS	06934500	1933-06-16	58800	A
USGS	06934500	1933-06-17	60300	A
USGS	06934500	1933-06-18	76000	A
USGS	06934500	1933-06-19	86000	A
USGS	06934500	1933-06-20	86000	A
USGS	06934500	1933-06-21	83000	A
USGS	06934500	1933-06-22	78000	A
USGS	06934500	1933-06-23	76000	A
USGS	06934500	1933-06-24	73000	A
USGS	06934500	1933-06-25	71200	A
USGS	06934500	1933-06-26	67700	A
USGS	06934500	1933-06-27	67700	A
USGS	06934500	1933-06-28	71200	A
USGS	06934500	1933-06-29	79000	A
USGS	06934500	1933-06-30	87000	A
USGS	06934500	1933-07-01	102000	A
USGS	06934500	1933-07-02	108000	A
USGS	06934500	1933-07-03	102000	A
USGS	06934500	1933-07-04	95700	A
USGS	06934500	1933-07-05	90200	A
USGS	06934500	1933-07-06	86000	A
USGS	06934500	1933-07-07	79000	A
USGS	06934500	1933-07-08	74100	A
USGS	06934500	1933-07-09	72300	A
USGS	06934500	1933-07-10	67400	A
USGS	06934500	1933-07-11	67400	A
USGS	06934500	1933-07-12	72300	A
USGS	06934500	1933-07-13	69700	A
USGS	06934500	1933-07-14	65200	A
USGS	06934500	1933-07-15	63700	A
USGS	06934500	1933-07-16	62300	A
USGS	06934500	1933-07-17	57000	A
USGS	06934500	1933-07-18	55600	A
USGS	06934500	1933-07-19	56000	A
USGS	06934500	1933-07-20	57400	A
USGS	06934500	1933-07-21	54500	A
USGS	06934500	1933-07-22	51000	A
USGS	06934500	1933-07-23	50300	A
USGS	06934500	1933-07-24	53100	A
USGS	06934500	1933-07-25	49600	A
USGS	06934500	1933-07-26	48200	A
USGS	06934500	1933-07-27	46100	A
USGS	06934500	1933-07-28	44800	A
USGS	06934500	1933-07-29	42800	A
USGS	06934500	1933-07-30	41400	A
USGS	06934500	1933-07-31	40100	A
USGS	06934500	1933-08-01	39500	A
USGS	06934500	1933-08-02	38300	A
USGS	06934500	1933-08-03	38900	A
USGS	06934500	1933-08-04	39500	A
USGS	06934500	1933-08-05	37100	A
USGS	06934500	1933-08-06	37700	A
USGS	06934500	1933-08-07	35900	A
USGS	06934500	1933-08-08	33500	A
USGS	06934500	1933-08-09	31900	A
USGS	06934500	1933-08-10	31300	A
USGS	06934500	1933-08-11	31300	A
USGS	06934500	1933-08-12	35300	A
USGS	06934500	1933-08-13	40800	A
USGS	06934500	1933-08-14	40300	A
USGS	06934500	1933-08-15	34000	A
USGS	06934500	1933-08-16	33400	A
USGS	06934500	1933-08-17	33400	A
USGS	06934500	1933-08-18	32700	A
USGS	06934500	1933-08-19	29500	A
USGS	06934500	1933-08-20	27900	A
USGS	06934500	1933-08-21	25300	A
USGS	06934500	1933-08-22	23700	A
USGS	06934500	1933-08-23	23700	A
USGS	06934500	1933-08-24	24800	A
USGS	06934500	1933-08-25	31300	A
USGS	06934500	1933-08-26	40100	A
USGS	06934500	1933-08-27	39100	A
USGS	06934500	1933-08-28	34900	A
USGS	06934500	1933-08-29	28400	A
USGS	06934500	1933-08-30	29000	A
USGS	06934500	1933-08-31	36500	A
USGS	06934500	1933-09-01	42800	A
USGS	06934500	1933-09-02	39700	A
USGS	06934500	1933-09-03	35500	A
USGS	06934500	1933-09-04	32300	A
USGS	06934500	1933-09-05	30100	A
USGS	06934500	1933-09-06	26900	A
USGS	06934500	1933-09-07	28000	A
USGS	06934500	1933-09-08	31900	A
USGS	06934500	1933-09-09	34500	A
USGS	06934500	1933-09-10	35100	A
USGS	06934500	1933-09-11	32300	A
USGS	06934500	1933-09-12	29600	A
USGS	06934500	1933-09-13	34100	A
USGS	06934500	1933-09-14	39500	A
USGS	06934500	1933-09-15	42800	A
USGS	06934500	1933-09-16	46100	A
USGS	06934500	1933-09-17	43400	A
USGS	06934500	1933-09-18	40800	A
USGS	06934500	1933-09-19	54500	A
USGS	06934500	1933-09-20	59600	A
USGS	06934500	1933-09-21	56200	A
USGS	06934500	1933-09-22	49600	A
USGS	06934500	1933-09-23	46100	A
USGS	06934500	1933-09-24	49600	A
USGS	06934500	1933-09-25	49600	A
USGS	06934500	1933-09-26	45500	A
USGS	06934500	1933-09-27	44100	A
USGS	06934500	1933-09-28	42800	A
USGS	06934500	1933-09-29	37700	A
USGS	06934500	1933-09-30	48200	A
USGS	06934500	1933-10-01	63700	A
USGS	06934500	1933-10-02	61000	A
USGS	06934500	1933-10-03	52300	A
USGS	06934500	1933-10-04	44900	A
USGS	06934500	1933-10-05	39100	A
USGS	06934500	1933-10-06	35200	A
USGS	06934500	1933-10-07	32400	A
USGS	06934500	1933-10-08	30100	A
USGS	06934500	1933-10-09	28500	A
USGS	06934500	1933-10-10	27400	A
USGS	06934500	1933-10-11	28900	A
USGS	06934500	1933-10-12	29000	A
USGS	06934500	1933-10-13	26400	A
USGS	06934500	1933-10-14	25900	A
USGS	06934500	1933-10-15	24800	A
USGS	06934500	1933-10-16	24300	A
USGS	06934500	1933-10-17	23200	A
USGS	06934500	1933-10-18	24300	A
USGS	06934500	1933-10-19	25900	A
USGS	06934500	1933-10-20	28500	A
USGS	06934500	1933-10-21	30200	A
USGS	06934500	1933-10-22	37100	A
USGS	06934500	1933-10-23	38900	A
USGS	06934500	1933-10-24	30200	A
USGS	06934500	1933-10-25	26900	A
USGS	06934500	1933-10-26	25900	A
USGS	06934500	1933-10-27	26400	A
USGS	06934500	1933-10-28	26400	A
USGS	06934500	1933-10-29	24800	A
USGS	06934500	1933-10-30	23200	A
USGS	06934500	1933-10-31	22700	A
USGS	06934500	1933-11-01	21700	A
USGS	06934500	1933-11-02	22700	A
USGS	06934500	1933-11-03	22200	A
USGS	06934500	1933-11-04	23200	A
USGS	06934500	1933-11-05	22700	A
USGS	06934500	1933-11-06	21700	A
USGS	06934500	1933-11-07	21300	A
USGS	06934500	1933-11-08	22200	A
USGS	06934500	1933-11-09	23200	A
USGS	06934500	1933-11-10	23200	A
USGS	06934500	1933-11-11	22200	A
USGS	06934500	1933-11-12	22200	A
USGS	06934500	1933-11-13	21300	A
USGS	06934500	1933-11-14	20800	A
USGS	06934500	1933-11-15	21200	A
USGS	06934500	1933-11-16	22600	A
USGS	06934500	1933-11-17	23100	A
USGS	06934500	1933-11-18	22600	A
USGS	06934500	1933-11-19	22600	A
USGS	06934500	1933-11-20	21700	A
USGS	06934500	1933-11-21	21200	A
USGS	06934500	1933-11-22	21700	A
USGS	06934500	1933-11-23	22100	A
USGS	06934500	1933-11-24	22100	A
USGS	06934500	1933-11-25	22600	A
USGS	06934500	1933-11-26	22700	A
USGS	06934500	1933-11-27	21300	A
USGS	06934500	1933-11-28	19900	A
USGS	06934500	1933-11-29	20300	A
USGS	06934500	1933-11-30	21300	A
USGS	06934500	1933-12-01	20300	A
USGS	06934500	1933-12-02	21700	A
USGS	06934500	1933-12-03	24700	A
USGS	06934500	1933-12-04	28400	A
USGS	06934500	1933-12-05	28400	A
USGS	06934500	1933-12-06	27800	A
USGS	06934500	1933-12-07	28400	A
USGS	06934500	1933-12-08	27800	A
USGS	06934500	1933-12-09	28000	A
USGS	06934500	1933-12-10	29500	A
USGS	06934500	1933-12-11	30000	A
USGS	06934500	1933-12-12	29500	A
USGS	06934500	1933-12-13	29500	A
USGS	06934500	1933-12-14	30200	A
USGS	06934500	1933-12-15	30800	A
USGS	06934500	1933-12-16	30600	A
USGS	06934500	1933-12-17	29000	A
USGS	06934500	1933-12-18	27400	A
USGS	06934500	1933-12-19	25600	A
USGS	06934500	1933-12-20	26100	A
USGS	06934500	1933-12-21	29600	A
USGS	06934500	1933-12-22	26900	A
USGS	06934500	1933-12-23	24200	A
USGS	06934500	1933-12-24	22200	A
USGS	06934500	1933-12-25	19900	A
USGS	06934500	1933-12-26	18000	A
USGS	06934500	1933-12-27	17400	A
USGS	06934500	1933-12-28	18100	A
USGS	06934500	1933-12-29	20400	A
USGS	06934500	1933-12-30	18100	A
USGS	06934500	1933-12-31	15400	A
USGS	06934500	1934-01-01	13400	A
USGS	06934500	1934-01-02	12600	A
USGS	06934500	1934-01-03	13400	A
USGS	06934500	1934-01-04	15200	A
USGS	06934500	1934-01-05	16600	A
USGS	06934500	1934-01-06	15300	A
USGS	06934500	1934-01-07	13600	A
USGS	06934500	1934-01-08	12800	A
USGS	06934500	1934-01-09	12400	A
USGS	06934500	1934-01-10	13300	A
USGS	06934500	1934-01-11	14500	A
USGS	06934500	1934-01-12	14500	A
USGS	06934500	1934-01-13	13300	A
USGS	06934500	1934-01-14	12900	A
USGS	06934500	1934-01-15	12900	A
USGS	06934500	1934-01-16	13700	A
USGS	06934500	1934-01-17	14500	A
USGS	06934500	1934-01-18	15800	A
USGS	06934500	1934-01-19	16100	A
USGS	06934500	1934-01-20	16600	A
USGS	06934500	1934-01-21	16100	A
USGS	06934500	1934-01-22	16100	A
USGS	06934500	1934-01-23	16600	A
USGS	06934500	1934-01-24	16600	A
USGS	06934500	1934-01-25	17900	A
USGS	06934500	1934-01-26	19400	A
USGS	06934500	1934-01-27	20700	A
USGS	06934500	1934-01-28	21700	A
USGS	06934500	1934-01-29	24200	A
USGS	06934500	1934-01-30	28800	A
USGS	06934500	1934-01-31	32300	A
USGS	06934500	1934-02-01	32300	A
USGS	06934500	1934-02-02	31200	A
USGS	06934500	1934-02-03	29100	A
USGS	06934500	1934-02-04	26900	A
USGS	06934500	1934-02-05	23200	A
USGS	06934500	1934-02-06	19300	A
USGS	06934500	1934-02-07	22700	A
USGS	06934500	1934-02-08	23700	A
USGS	06934500	1934-02-09	23700	A
USGS	06934500	1934-02-10	26300	A
USGS	06934500	1934-02-11	27400	A
USGS	06934500	1934-02-12	27900	A
USGS	06934500	1934-02-13	26900	A
USGS	06934500	1934-02-14	28500	A
USGS	06934500	1934-02-15	27900	A
USGS	06934500	1934-02-16	27900	A
USGS	06934500	1934-02-17	27900	A
USGS	06934500	1934-02-18	28500	A
USGS	06934500	1934-02-19	27400	A
USGS	06934500	1934-02-20	27400	A
USGS	06934500	1934-02-21	34000	A
USGS	06934500	1934-02-22	43800	A
USGS	06934500	1934-02-23	42800	A
USGS	06934500	1934-02-24	37700	A
USGS	06934500	1934-02-25	34100	A
USGS	06934500	1934-02-26	27200	A
USGS	06934500	1934-02-27	22300	A
USGS	06934500	1934-02-28	19200	A
USGS	06934500	1934-03-01	17800	A
USGS	06934500	1934-03-02	18700	A
USGS	06934500	1934-03-03	28700	A
USGS	06934500	1934-03-04	30400	A
USGS	06934500	1934-03-05	28000	A
USGS	06934500	1934-03-06	30600	A
USGS	06934500	1934-03-07	32300	A
USGS	06934500	1934-03-08	32900	A
USGS	06934500	1934-03-09	43100	A
USGS	06934500	1934-03-10	82000	A
USGS	06934500	1934-03-11	72200	A
USGS	06934500	1934-03-12	57700	A
USGS	06934500	1934-03-13	50600	A
USGS	06934500	1934-03-14	49200	A
USGS	06934500	1934-03-15	48500	A
USGS	06934500	1934-03-16	46100	A
USGS	06934500	1934-03-17	45500	A
USGS	06934500	1934-03-18	42100	A
USGS	06934500	1934-03-19	37100	A
USGS	06934500	1934-03-20	34700	A
USGS	06934500	1934-03-21	37100	A
USGS	06934500	1934-03-22	37700	A
USGS	06934500	1934-03-23	36500	A
USGS	06934500	1934-03-24	37100	A
USGS	06934500	1934-03-25	35900	A
USGS	06934500	1934-03-26	32400	A
USGS	06934500	1934-03-27	42100	A
USGS	06934500	1934-03-28	48200	A
USGS	06934500	1934-03-29	47500	A
USGS	06934500	1934-03-30	48900	A
USGS	06934500	1934-03-31	48900	A
USGS	06934500	1934-04-01	55200	A
USGS	06934500	1934-04-02	54500	A
USGS	06934500	1934-04-03	48200	A
USGS	06934500	1934-04-04	43400	A
USGS	06934500	1934-04-05	40800	A
USGS	06934500	1934-04-06	42100	A
USGS	06934500	1934-04-07	48200	A
USGS	06934500	1934-04-08	53100	A
USGS	06934500	1934-04-09	48200	A
USGS	06934500	1934-04-10	42100	A
USGS	06934500	1934-04-11	40800	A
USGS	06934500	1934-04-12	42800	A
USGS	06934500	1934-04-13	42800	A
USGS	06934500	1934-04-14	38900	A
USGS	06934500	1934-04-15	35900	A
USGS	06934500	1934-04-16	34700	A
USGS	06934500	1934-04-17	34700	A
USGS	06934500	1934-04-18	35900	A
USGS	06934500	1934-04-19	36500	A
USGS	06934500	1934-04-20	36500	A
USGS	06934500	1934-04-21	38300	A
USGS	06934500	1934-04-22	39500	A
USGS	06934500	1934-04-23	35900	A
USGS	06934500	1934-04-24	32400	A
USGS	06934500	1934-04-25	30200	A
USGS	06934500	1934-04-26	29600	A
USGS	06934500	1934-04-27	29100	A
USGS	06934500	1934-04-28	30200	A
USGS	06934500	1934-04-29	31300	A
USGS	06934500	1934-04-30	31300	A
USGS	06934500	1934-05-01	30200	A
USGS	06934500	1934-05-02	28500	A
USGS	06934500	1934-05-03	26900	A
USGS	06934500	1934-05-04	25900	A
USGS	06934500	1934-05-05	25300	A
USGS	06934500	1934-05-06	26800	A
USGS	06934500	1934-05-07	29400	A
USGS	06934500	1934-05-08	30100	A
USGS	06934500	1934-05-09	29000	A
USGS	06934500	1934-05-10	29000	A
USGS	06934500	1934-05-11	28500	A
USGS	06934500	1934-05-12	27900	A
USGS	06934500	1934-05-13	27400	A
USGS	06934500	1934-05-14	26400	A
USGS	06934500	1934-05-15	27800	A
USGS	06934500	1934-05-16	31000	A
USGS	06934500	1934-05-17	38900	A
USGS	06934500	1934-05-18	47100	A
USGS	06934500	1934-05-19	46400	A
USGS	06934500	1934-05-20	38700	A
USGS	06934500	1934-05-21	34500	A
USGS	06934500	1934-05-22	34500	A
USGS	06934500	1934-05-23	38700	A
USGS	06934500	1934-05-24	37100	A
USGS	06934500	1934-05-25	35300	A
USGS	06934500	1934-05-26	34100	A
USGS	06934500	1934-05-27	32400	A
USGS	06934500	1934-05-28	30700	A
USGS	06934500	1934-05-29	30100	A
USGS	06934500	1934-05-30	30600	A
USGS	06934500	1934-05-31	30600	A
USGS	06934500	1934-06-01	29600	A
USGS	06934500	1934-06-02	29600	A
USGS	06934500	1934-06-03	30200	A
USGS	06934500	1934-06-04	31300	A
USGS	06934500	1934-06-05	31900	A
USGS	06934500	1934-06-06	31400	A
USGS	06934500	1934-06-07	31400	A
USGS	06934500	1934-06-08	30900	A
USGS	06934500	1934-06-09	29900	A
USGS	06934500	1934-06-10	31500	A
USGS	06934500	1934-06-11	34100	A
USGS	06934500	1934-06-12	31100	A
USGS	06934500	1934-06-13	33900	A
USGS	06934500	1934-06-14	54000	A
USGS	06934500	1934-06-15	72100	A
USGS	06934500	1934-06-16	64200	A
USGS	06934500	1934-06-17	54700	A
USGS	06934500	1934-06-18	48000	A
USGS	06934500	1934-06-19	43100	A
USGS	06934500	1934-06-20	39100	A
USGS	06934500	1934-06-21	35900	A
USGS	06934500	1934-06-22	35900	A
USGS	06934500	1934-06-23	38400	A
USGS	06934500	1934-06-24	35300	A
USGS	06934500	1934-06-25	36300	A
USGS	06934500	1934-06-26	37900	A
USGS	06934500	1934-06-27	38500	A
USGS	06934500	1934-06-28	39800	A
USGS	06934500	1934-06-29	40400	A
USGS	06934500	1934-06-30	42800	A
USGS	06934500	1934-07-01	51000	A
USGS	06934500	1934-07-02	53500	A
USGS	06934500	1934-07-03	47900	A
USGS	06934500	1934-07-04	42400	A
USGS	06934500	1934-07-05	39600	A
USGS	06934500	1934-07-06	37200	A
USGS	06934500	1934-07-07	35400	A
USGS	06934500	1934-07-08	34300	A
USGS	06934500	1934-07-09	33100	A
USGS	06934500	1934-07-10	33700	A
USGS	06934500	1934-07-11	35500	A
USGS	06934500	1934-07-12	37300	A
USGS	06934500	1934-07-13	36700	A
USGS	06934500	1934-07-14	34900	A
USGS	06934500	1934-07-15	34900	A
USGS	06934500	1934-07-16	37900	A
USGS	06934500	1934-07-17	41100	A
USGS	06934500	1934-07-18	39400	A
USGS	06934500	1934-07-19	35700	A
USGS	06934500	1934-07-20	32100	A
USGS	06934500	1934-07-21	29300	A
USGS	06934500	1934-07-22	28600	A
USGS	06934500	1934-07-23	26400	A
USGS	06934500	1934-07-24	24900	A
USGS	06934500	1934-07-25	24300	A
USGS	06934500	1934-07-26	23300	A
USGS	06934500	1934-07-27	23800	A
USGS	06934500	1934-07-28	23300	A
USGS	06934500	1934-07-29	22200	A
USGS	06934500	1934-07-30	21200	A
USGS	06934500	1934-07-31	20700	A
USGS	06934500	1934-08-01	19800	A
USGS	06934500	1934-08-02	19300	A
USGS	06934500	1934-08-03	18400	A
USGS	06934500	1934-08-04	17900	A
USGS	06934500	1934-08-05	17500	A
USGS	06934500	1934-08-06	17200	A
USGS	06934500	1934-08-07	16700	A
USGS	06934500	1934-08-08	16300	A
USGS	06934500	1934-08-09	15800	A
USGS	06934500	1934-08-10	15900	A
USGS	06934500	1934-08-11	16300	A
USGS	06934500	1934-08-12	16800	A
USGS	06934500	1934-08-13	16400	A
USGS	06934500	1934-08-14	15300	A
USGS	06934500	1934-08-15	14800	A
USGS	06934500	1934-08-16	25300	A
USGS	06934500	1934-08-17	50300	A
USGS	06934500	1934-08-18	35900	A
USGS	06934500	1934-08-19	23200	A
USGS	06934500	1934-08-20	19300	A
USGS	06934500	1934-08-21	19800	A
USGS	06934500	1934-08-22	21700	A
USGS	06934500	1934-08-23	18900	A
USGS	06934500	1934-08-24	17500	A
USGS	06934500	1934-08-25	16600	A
USGS	06934500	1934-08-26	16000	A
USGS	06934500	1934-08-27	15600	A
USGS	06934500	1934-08-28	15100	A
USGS	06934500	1934-08-29	14700	A
USGS	06934500	1934-08-30	15100	A
USGS	06934500	1934-08-31	15100	A
USGS	06934500	1934-09-01	15600	A
USGS	06934500	1934-09-02	15700	A
USGS	06934500	1934-09-03	15700	A
USGS	06934500	1934-09-04	15700	A
USGS	06934500	1934-09-05	17000	A
USGS	06934500	1934-09-06	19300	A
USGS	06934500	1934-09-07	20200	A
USGS	06934500	1934-09-08	20700	A
USGS	06934500	1934-09-09	20200	A
USGS	06934500	1934-09-10	19300	A
USGS	06934500	1934-09-11	18400	A
USGS	06934500	1934-09-12	25900	A
USGS	06934500	1934-09-13	56700	A
USGS	06934500	1934-09-14	61000	A
USGS	06934500	1934-09-15	53800	A
USGS	06934500	1934-09-16	50300	A
USGS	06934500	1934-09-17	45500	A
USGS	06934500	1934-09-18	38900	A
USGS	06934500	1934-09-19	33000	A
USGS	06934500	1934-09-20	25900	A
USGS	06934500	1934-09-21	21200	A
USGS	06934500	1934-09-22	20200	A
USGS	06934500	1934-09-23	22200	A
USGS	06934500	1934-09-24	24300	A
USGS	06934500	1934-09-25	23200	A
USGS	06934500	1934-09-26	21200	A
USGS	06934500	1934-09-27	18400	A
USGS	06934500	1934-09-28	18900	A
USGS	06934500	1934-09-29	42800	A
USGS	06934500	1934-09-30	62400	A
USGS	06934500	1934-10-01	61000	A
USGS	06934500	1934-10-02	58100	A
USGS	06934500	1934-10-03	48200	A
USGS	06934500	1934-10-04	37700	A
USGS	06934500	1934-10-05	30700	A
USGS	06934500	1934-10-06	27400	A
USGS	06934500	1934-10-07	25300	A
USGS	06934500	1934-10-08	23200	A
USGS	06934500	1934-10-09	21200	A
USGS	06934500	1934-10-10	20200	A
USGS	06934500	1934-10-11	19300	A
USGS	06934500	1934-10-12	18400	A
USGS	06934500	1934-10-13	17500	A
USGS	06934500	1934-10-14	16600	A
USGS	06934500	1934-10-15	15700	A
USGS	06934500	1934-10-16	14400	A
USGS	06934500	1934-10-17	14800	A
USGS	06934500	1934-10-18	16600	A
USGS	06934500	1934-10-19	17500	A
USGS	06934500	1934-10-20	20200	A
USGS	06934500	1934-10-21	24800	A
USGS	06934500	1934-10-22	25300	A
USGS	06934500	1934-10-23	24800	A
USGS	06934500	1934-10-24	27400	A
USGS	06934500	1934-10-25	42100	A
USGS	06934500	1934-10-26	45500	A
USGS	06934500	1934-10-27	40100	A
USGS	06934500	1934-10-28	35900	A
USGS	06934500	1934-10-29	28500	A
USGS	06934500	1934-10-30	24800	A
USGS	06934500	1934-10-31	24300	A
USGS	06934500	1934-11-01	24300	A
USGS	06934500	1934-11-02	23200	A
USGS	06934500	1934-11-03	23200	A
USGS	06934500	1934-11-04	33000	A
USGS	06934500	1934-11-05	34700	A
USGS	06934500	1934-11-06	30700	A
USGS	06934500	1934-11-07	30200	A
USGS	06934500	1934-11-08	28500	A
USGS	06934500	1934-11-09	26400	A
USGS	06934500	1934-11-10	26400	A
USGS	06934500	1934-11-11	26900	A
USGS	06934500	1934-11-12	26400	A
USGS	06934500	1934-11-13	24300	A
USGS	06934500	1934-11-14	23700	A
USGS	06934500	1934-11-15	23200	A
USGS	06934500	1934-11-16	22200	A
USGS	06934500	1934-11-17	22200	A
USGS	06934500	1934-11-18	21700	A
USGS	06934500	1934-11-19	20700	A
USGS	06934500	1934-11-20	20200	A
USGS	06934500	1934-11-21	22700	A
USGS	06934500	1934-11-22	34100	A
USGS	06934500	1934-11-23	66900	A
USGS	06934500	1934-11-24	94600	A
USGS	06934500	1934-11-25	99000	A
USGS	06934500	1934-11-26	84000	A
USGS	06934500	1934-11-27	72400	A
USGS	06934500	1934-11-28	65400	A
USGS	06934500	1934-11-29	58400	A
USGS	06934500	1934-11-30	70800	A
USGS	06934500	1934-12-01	86500	A
USGS	06934500	1934-12-02	73600	A
USGS	06934500	1934-12-03	65900	A
USGS	06934500	1934-12-04	69200	A
USGS	06934500	1934-12-05	85000	A
USGS	06934500	1934-12-06	84000	A
USGS	06934500	1934-12-07	73100	A
USGS	06934500	1934-12-08	59600	A
USGS	06934500	1934-12-09	49600	A
USGS	06934500	1934-12-10	41400	A
USGS	06934500	1934-12-11	34600	A
USGS	06934500	1934-12-12	33500	A
USGS	06934500	1934-12-13	30100	A
USGS	06934500	1934-12-14	28000	A
USGS	06934500	1934-12-15	26900	A
USGS	06934500	1934-12-16	26400	A
USGS	06934500	1934-12-17	26300	A
USGS	06934500	1934-12-18	26300	A
USGS	06934500	1934-12-19	32900	A
USGS	06934500	1934-12-20	34600	A
USGS	06934500	1934-12-21	35600	A
USGS	06934500	1934-12-22	36900	A
USGS	06934500	1934-12-23	41600	A
USGS	06934500	1934-12-24	42400	A
USGS	06934500	1934-12-25	39700	A
USGS	06934500	1934-12-26	38500	A
USGS	06934500	1934-12-27	35000	A
USGS	06934500	1934-12-28	37300	A
USGS	06934500	1934-12-29	36900	A
USGS	06934500	1934-12-30	39900	A
USGS	06934500	1934-12-31	40800	A
USGS	06934500	1935-01-01	35100	A
USGS	06934500	1935-01-02	35100	A
USGS	06934500	1935-01-03	30100	A
USGS	06934500	1935-01-04	31900	A
USGS	06934500	1935-01-05	31300	A
USGS	06934500	1935-01-06	27100	A
USGS	06934500	1935-01-07	23800	A
USGS	06934500	1935-01-08	32300	A
USGS	06934500	1935-01-09	51400	A
USGS	06934500	1935-01-10	59800	A
USGS	06934500	1935-01-11	57300	A
USGS	06934500	1935-01-12	50900	A
USGS	06934500	1935-01-13	43500	A
USGS	06934500	1935-01-14	36900	A
USGS	06934500	1935-01-15	33600	A
USGS	06934500	1935-01-16	37900	A
USGS	06934500	1935-01-17	41800	A
USGS	06934500	1935-01-18	42600	A
USGS	06934500	1935-01-19	42100	A
USGS	06934500	1935-01-20	45500	A
USGS	06934500	1935-01-21	43500	A
USGS	06934500	1935-01-22	42100	A
USGS	06934500	1935-01-23	49000	A
USGS	06934500	1935-01-24	39400	A
USGS	06934500	1935-01-25	34100	A
USGS	06934500	1935-01-26	29500	A
USGS	06934500	1935-01-27	28700	A
USGS	06934500	1935-01-28	27000	A
USGS	06934500	1935-01-29	23700	A
USGS	06934500	1935-01-30	29300	A
USGS	06934500	1935-01-31	30300	A
USGS	06934500	1935-02-01	30400	A
USGS	06934500	1935-02-02	31000	A
USGS	06934500	1935-02-03	31100	A
USGS	06934500	1935-02-04	33100	A
USGS	06934500	1935-02-05	30000	A
USGS	06934500	1935-02-06	33100	A
USGS	06934500	1935-02-07	35800	A
USGS	06934500	1935-02-08	33700	A
USGS	06934500	1935-02-09	32500	A
USGS	06934500	1935-02-10	33100	A
USGS	06934500	1935-02-11	32500	A
USGS	06934500	1935-02-12	29400	A
USGS	06934500	1935-02-13	33700	A
USGS	06934500	1935-02-14	35700	A
USGS	06934500	1935-02-15	41500	A
USGS	06934500	1935-02-16	42100	A
USGS	06934500	1935-02-17	44200	A
USGS	06934500	1935-02-18	46200	A
USGS	06934500	1935-02-19	50400	A
USGS	06934500	1935-02-20	52600	A
USGS	06934500	1935-02-21	49800	A
USGS	06934500	1935-02-22	51100	A
USGS	06934500	1935-02-23	51900	A
USGS	06934500	1935-02-24	51900	A
USGS	06934500	1935-02-25	54800	A
USGS	06934500	1935-02-26	51900	A
USGS	06934500	1935-02-27	56300	A
USGS	06934500	1935-02-28	64100	A
USGS	06934500	1935-03-01	60700	A
USGS	06934500	1935-03-02	51600	A
